time,x,y,z,vx,vy,vz,m,att_x,att_y,att_z,thrust,gimbal_a,gimbal_b,R1,R2
2.070000000000000284e+01,-3.256749761279591204e-02,-2.625524154707225416e-02,3.067797242731253426e+00,1.062036178943144976e-01,-8.037409605339441987e-02,-3.165414410752141805e+00,8.167457972043514758e-01,6.032217612021989472e-02,-2.207688679937147569e-02,-1.787051501216037341e-02,9.152255785130584798e+00,-1.916037779814240213e-02,-3.530433902745011565e-02,6.369421008548951935e-02,2.727009750241211894e-02
2.080000000000000071e+01,-2.190207382645405210e-02,-3.196579995815778535e-02,2.782969435797290281e+00,1.066542378634185717e-01,-5.710558411085531888e-02,-2.848278069339631013e+00,8.157889792504817716e-01,6.334272564368147174e-02,-1.530371770207916704e-02,-1.767354904167844909e-02,9.568179538697071607e+00,-2.410307253966483682e-02,-4.604753470816367461e-02,6.627385034761253124e-02,2.469343312162381246e-02
2.090000000000000213e+01,-1.161602518843189019e-02,-3.582666681138810955e-02,2.525766954781013762e+00,1.028604863802216052e-01,-3.860866853230322110e-02,-2.572024810162766073e+00,8.148493428599707933e-01,6.538939739723131916e-02,-8.161859471237153940e-03,-1.739112884592961331e-02,9.396363905109490489e+00,-2.022497225777728988e-02,-5.214748033660095150e-02,6.769511534162331312e-02,2.327520066365066503e-02
2.100000000000000000e+01,-1.837548652005810065e-03,-3.794752082956244499e-02,2.291920270628970524e+00,9.778476536426079779e-02,-2.120854018174334402e-02,-2.338466841520431938e+00,8.139309726947659973e-01,6.644832760450178344e-02,-7.784062274498459999e-04,-1.703662355392914635e-02,9.183701652048474884e+00,-1.367922921622780237e-02,-5.419109581813662951e-02,6.795349618495781507e-02,2.301790954703337305e-02
2.110000000000000142e+01,7.284268276765946959e-03,-3.825136241891775868e-02,2.078509550930983885e+00,9.121816928771757371e-02,-3.038415893553109148e-03,-2.134107196979867282e+00,8.130254113222846746e-01,6.654211425451003747e-02,6.728353390750285712e-03,-1.662614011331069869e-02,9.055613724813298404e+00,-7.225536712767590894e-03,-5.375722526242002891e-02,6.718792283756878925e-02,2.378455092068813490e-02
2.120000000000000284e+01,1.553024971873503274e-02,-3.690374006912610499e-02,1.883538680446180891e+00,8.245981441969085779e-02,1.347622349791655072e-02,-1.949708704848029495e+00,8.121271998160786154e-01,6.566271735011999788e-02,1.425584212012198648e-02,-1.617905862684817370e-02,8.982115062060215038e+00,-1.446966747745817355e-03,-5.466627055290278203e-02,6.452726803508000708e-02,2.644815087667088879e-02
2.130000000000000071e+01,2.250340009156182389e-02,-3.383134295142922049e-02,1.705491138398755435e+00,6.973150372826791843e-02,3.072397117696884158e-02,-1.780475420474254333e+00,8.112344235893659272e-01,6.385420840758744554e-02,2.173240029817646857e-02,-1.571398752872422977e-02,8.927762267126665208e+00,2.675297698130627184e-03,-5.252667547080060867e-02,6.115480863008913859e-02,2.982334824157958225e-02
2.140000000000000213e+01,2.769898338329473964e-02,-2.924971990221658311e-02,1.542905499607368780e+00,5.195583291732915748e-02,4.581623049212637383e-02,-1.625856387913866996e+00,8.103475037043585960e-01,6.112941516509827478e-02,2.910895254018330824e-02,-1.524938110060740371e-02,8.869198850073047424e+00,5.578388986134115435e-03,-5.211553917187219942e-02,5.683396833252582492e-02,3.414747534131128831e-02
2.150000000000000000e+01,3.094038867677593313e-02,-2.385709822841285480e-02,1.394419259528325572e+00,3.241405293481194883e-02,5.392621673803729004e-02,-1.484862400790430970e+00,8.094665888320418112e-01,5.743606910717483777e-02,3.628924871218286441e-02,-1.480805985877115677e-02,8.809148723168091166e+00,1.120801734641769035e-02,-5.536503996026488628e-02,5.149944246013608840e-02,3.948300553580782329e-02
2.160000000000000142e+01,3.243066637386624734e-02,-1.872474606990803814e-02,1.258623255467430813e+00,1.490277697090317335e-02,5.132352158504816658e-02,-1.357960040608948260e+00,8.085930577196833724e-01,5.267648210577281775e-02,4.312299674897146495e-02,-1.441652731964960035e-02,8.735311123583972659e+00,2.003369842723960043e-02,-6.131042894068274712e-02,4.533681666671782184e-02,4.564862415718917016e-02
