Iteration,x,y,z,vx,vy,vz,theta_x,theta_y,theta_z,omega_x,omega_y,omega_z,thrust,a,b
148,-0.007595,0.117525,0.000114,-0.032233,0.479628,0.000574,0.000008,-0.000070,0.000043,0.000034,-0.000285,0.000205,0.000000,0.000000,0.000000
149,-0.007646,0.117922,0.000120,-0.032323,0.479238,0.000599,0.000006,-0.000067,0.000039,0.000020,-0.000284,0.000186,0.000000,0.000000,0.000000
150,-0.007698,0.118318,0.000126,-0.032413,0.478840,0.000625,0.000006,-0.000070,0.000036,0.000016,-0.000284,0.000167,0.000000,0.000000,0.000000
151,-0.007749,0.118712,0.000132,-0.032504,0.478437,0.000652,0.000005,-0.000073,0.000034,0.000014,-0.000298,0.000154,0.000000,0.000000,0.000000
152,-0.007801,0.119103,0.000139,-0.032593,0.478026,0.000678,0.000000,-0.000066,0.000035,0.000001,-0.000287,0.000151,0.000000,0.000000,0.000000
153,-0.007851,0.119492,0.000145,-0.032680,0.477605,0.000704,-0.000002,-0.000062,0.000034,-0.000017,-0.000260,0.000151,0.000000,0.000000,0.000000
154,-0.007902,0.119877,0.000151,-0.032764,0.477173,0.000729,-0.000005,-0.000060,0.000039,-0.000029,-0.000245,0.000160,0.000000,0.000000,0.000000
155,-0.007948,0.120259,0.000157,-0.032838,0.476730,0.000754,-0.000006,-0.000062,0.000039,-0.000037,-0.000242,0.000170,0.000000,0.000000,0.000000
156,-0.007996,0.120639,0.000163,-0.032904,0.476277,0.000779,-0.000014,-0.000067,0.000045,-0.000060,-0.000258,0.000184,0.000000,0.000000,0.000000
157,-0.008044,0.121016,0.000169,-0.032975,0.475815,0.000803,-0.000008,-0.000066,0.000047,-0.000064,-0.000266,0.000204,0.000000,0.000000,0.000000
158,-0.008091,0.121390,0.000175,-0.033041,0.475342,0.000828,-0.000005,-0.000056,0.000051,-0.000042,-0.000239,0.000217,0.000000,0.000000,0.000000
159,-0.008136,0.121760,0.000181,-0.033102,0.474858,0.000851,-0.000005,-0.000058,0.000045,-0.000035,-0.000218,0.000210,0.000000,0.000000,0.000000
160,-0.008180,0.122130,0.000186,-0.033154,0.474367,0.000873,-0.000003,-0.000061,0.000042,-0.000029,-0.000228,0.000188,0.000000,0.000000,0.000000
161,-0.008223,0.122499,0.000191,-0.033202,0.473876,0.000894,-0.000002,-0.000064,0.000050,-0.000022,-0.000241,0.000198,0.000000,0.000000,0.000000
