time,x,y,z,vx,vy,vz,att_x,att_y,att_z,thrust,gimbal_a,gimbal_b
4.900000000000000355e+00,1.939685860598486244e-01,-2.724005133868107276e+00,5.209256497732030589e+00,3.574572271892623720e-01,-5.777520593006000293e-01,5.523202310369210721e-01,-6.435078039541034522e-01,8.565111348818388315e-02,3.944695177098304223e-02,8.753830343429733318e+00,2.617251737833333203e-01,0.000000000000000000e+00
5.000000000000000000e+00,2.337614470652959464e-01,-2.749318552975979379e+00,5.240092975958171806e+00,3.979286100544731086e-01,-2.531341910787194838e-01,3.083647822614090650e-01,-7.030038319221794119e-01,9.685699035653505540e-02,4.084841468633172018e-02,8.160398667492508196e+00,2.616913821186553357e-01,0.000000000000000000e+00
5.100000000000000533e+00,2.777153804440504747e-01,-2.743911560114775217e+00,5.235945295778858366e+00,4.395393337875451167e-01,5.406992861204251710e-02,-4.147680179313240068e-02,-7.639797925974165516e-01,1.087468658839874092e-01,4.165187613532203570e-02,7.064458439369745157e+00,2.616691744836639466e-01,0.000000000000000000e+00
5.200000000000000178e+00,3.266899787032934710e-01,-2.704282602086253373e+00,5.195680562285803106e+00,4.897459825924301291e-01,3.962895802852186566e-01,-4.026473349305563776e-01,-8.263616192776465086e-01,1.213482780687800133e-01,4.173081344400165343e-02,7.080050581338754867e+00,2.617916650761318298e-01,0.000000000000000000e+00
5.300000000000000711e+00,3.798445713924173406e-01,-2.630171477065799568e+00,5.113611406194724651e+00,5.315459268912388069e-01,7.411112502045376083e-01,-8.206915609107818810e-01,-8.899337136917079283e-01,1.345545378606121112e-01,4.104988875384810859e-02,6.578448579388251893e+00,2.617821299372733446e-01,0.000000000000000000e+00
5.400000000000000355e+00,4.375161701073677079e-01,-2.521918788586535953e+00,4.982136646570012317e+00,5.767159871495037837e-01,1.082526884792635258e+00,-1.314747596247123562e+00,-9.546199110404391952e-01,1.483220319666713749e-01,3.947136836444873481e-02,6.009805501000501593e+00,2.612571434098737155e-01,0.000000000000000000e+00
5.500000000000000000e+00,4.935920084860734858e-01,-2.366516765547647783e+00,4.776697842866505006e+00,5.607583837870577792e-01,1.554020230388882151e+00,-2.054388037035076664e+00,-1.016873600437289582e+00,1.624444790807149097e-01,3.714720081654428879e-02,5.610077614744589880e+00,-2.611224124931543766e-01,0.000000000000000000e+00
5.600000000000000533e+00,5.463858458032233578e-01,-2.165937119869814076e+00,4.503165377556553217e+00,5.279383731714987205e-01,2.005796456778339287e+00,-2.735324653099516556e+00,-1.075541250531808712e+00,1.767338053074238857e-01,3.433957569750139410e-02,6.070161021354878450e+00,-2.616408771900654573e-01,0.000000000000000000e+00
5.700000000000000178e+00,5.983233100568937646e-01,-1.900348458597075130e+00,4.146608711882519671e+00,5.193746425367045116e-01,2.655886612727390350e+00,-3.565566656740331908e+00,-1.131410337805821342e+00,1.914227543378661522e-01,3.059557287647586207e-02,8.372211946026677509e+00,-2.616899931972131443e-01,0.000000000000000000e+00
5.800000000000000711e+00,6.478139190637970390e-01,-1.617462490027601119e+00,3.690290296483563104e+00,4.949060900690332443e-01,2.828859685694739667e+00,-4.563184153989563896e+00,-1.185108730489070172e+00,2.064497340297848371e-01,2.591710148299652614e-02,5.592282058567966452e+00,-2.616943151045663107e-01,0.000000000000000000e+00
5.900000000000000355e+00,6.861340044836944374e-01,-1.329464432881484415e+00,3.236832687604545011e+00,3.832008541989738171e-01,2.879980571461167482e+00,-4.534576088790179149e+00,-1.225249400779605979e+00,2.207293618882792963e-01,2.323238096180957335e-02,7.780774219672747627e+00,-2.617531088070328416e-01,0.000000000000000000e+00
6.000000000000000000e+00,7.173824699971467211e-01,-1.118674455889322683e+00,2.723037314358400796e+00,3.124846551345230594e-01,2.107899769921617761e+00,-5.137953732461443046e+00,-1.258932565727404418e+00,2.347434179081875349e-01,2.143971742203144501e-02,2.862832246115479262e-01,-2.511061874304301722e-01,0.000000000000000000e+00
6.100000000000000533e+00,7.451642044882574867e-01,-8.405067475899163920e-01,2.132657347409852022e+00,2.778173449111072113e-01,2.781677082994062022e+00,-5.903799669485485957e+00,-1.287334848209609861e+00,2.490286829488224107e-01,1.957719365991468854e-02,9.786889918175257108e+00,-2.617775628142686162e-01,0.000000000000000000e+00
6.200000000000000178e+00,7.669056082730716373e-01,-5.252508474858839094e-01,1.495303000020818285e+00,2.174140378481414781e-01,3.152559001040325271e+00,-6.373543473890336486e+00,-1.306313976570575797e+00,2.633339557211999971e-01,1.879652054830979399e-02,1.003378184848279631e+01,-2.617820042394882196e-01,0.000000000000000000e+00
6.300000000000000711e+00,7.801003674527041687e-01,-1.880392730957320402e-01,8.602880960388521459e-01,1.319475917963252309e-01,3.372115743901518581e+00,-6.350149039819660501e+00,-1.309232435848794340e+00,2.770735312082024393e-01,2.104835806174739157e-02,1.251169979920272191e+01,-2.617096119683887112e-01,0.000000000000000000e+00
6.400000000000000355e+00,7.837723578707522787e-01,1.535402508163938307e-01,2.930195864501002889e-01,3.671990418048162730e-02,3.415795239121258486e+00,-5.672685095887517903e+00,-1.287592735626267970e+00,2.896773950031845679e-01,2.868237663263798268e-02,1.499925101131129779e+01,-2.617844673549118428e-01,0.000000000000000000e+00
6.500000000000000000e+00,7.807335952730872775e-01,5.469379893123760272e-01,-3.849181766610253463e-01,-3.038762597665002618e-02,3.933977384959822299e+00,-6.779377631111255909e+00,-1.262014093433591055e+00,3.021540716022870221e-01,3.672612478518934298e-02,1.253334658866217488e+01,-2.616611985161059195e-01,0.000000000000000000e+00
6.600000000000000533e+00,7.733909970067740502e-01,8.764365419222135412e-01,-9.632312916532365099e-01,-7.342598266313264677e-02,3.294985526098375583e+00,-5.783131149922111192e+00,-1.209154906085169401e+00,3.121408101819997949e-01,5.175917504628600035e-02,1.054129090131867308e+01,-2.616767126465409099e-01,0.000000000000000000e+00
