time,x,y,z,vx,vy,vz,thrust,a,b,xac,yac,zac,vxac,vyac,vzac
0.137,0,0,0.00201568,0,0,0.0298764,7.02942,0,0,-0.0253171,0.297746,7.60909e-05,-0.000203681,0.00239543,6.98888e-07
0.138,0,0,0.00204579,0,0,0.030112,7.02961,0,0,-0.025324,0.297828,7.78246e-05,-0.000202747,0.00238445,7.12405e-07
0.139,0,0,0.00207614,0,0,0.0303479,7.0298,0,0,-0.0253309,0.297909,7.9584e-05,-0.00020182,0.00237354,7.26071e-07
0.14,0,0,0.00210673,0,0,0.0305841,7.02999,0,0,-0.0253377,0.297988,8.13694e-05,-0.000200899,0.00236271,7.39884e-07
0.141,0,0,0.00213755,0,0,0.0308206,7.03018,0,0,-0.0253444,0.298067,8.31808e-05,-0.000199984,0.00235195,7.53847e-07
0.142,0,0,0.0021686,0,0,0.0310573,7.03037,0,0,-0.025351,0.298145,8.50186e-05,-0.000199076,0.00234126,7.67958e-07
0.143,0,0,0.0021999,0,0,0.0312943,7.03056,0,0,-0.0253575,0.298222,8.68827e-05,-0.000198173,0.00233065,7.82219e-07
0.144,0,0,0.00223143,0,0,0.0315316,7.03075,0,0,-0.025364,0.298298,8.87736e-05,-0.000197277,0.00232011,7.96629e-07
0.145,0,0,0.0022632,0,0,0.0317692,7.03094,0,0,-0.0253704,0.298373,9.06912e-05,-0.000196386,0.00230964,8.1119e-07
0.146,0,0,0.00229521,0,0,0.032007,7.03113,0,0,-0.0253767,0.298447,9.26359e-05,-0.000195502,0.00229924,8.25902e-07
0.147,0,0,0.00232745,0,0,0.0322451,7.03132,0,0,-0.0253829,0.29852,9.46077e-05,-0.000194623,0.0022889,8.40765e-07
0.148,0,0,0.00235993,0,0,0.0324834,7.03151,0,0,-0.0253891,0.298593,9.66069e-05,-0.000193751,0.00227864,8.55779e-07
0.149,0,0,0.00239266,0,0,0.0327221,7.0317,0,0,-0.0253952,0.298664,9.86337e-05,-0.000192884,0.00226845,8.70945e-07
0.15,0,0,0.00242562,0,0,0.032961,7.03189,0,0,-0.0254012,0.298735,0.000100688,-0.000192023,0.00225832,8.86264e-07
0.151,0,0,0.00245882,0,0,0.0332002,7.03208,0,0,-0.0254071,0.298805,0.000102771,-0.000191167,0.00224826,9.01736e-07
0.152,0,0,0.00249226,0,0,0.0334396,7.03227,0,0,-0.025413,0.298875,0.000104881,-0.000190317,0.00223826,9.1736e-07
0.153,0,0,0.00252594,0,0,0.0336793,7.03246,0,0,-0.0254189,0.298943,0.00010702,-0.000189473,0.00222833,9.33139e-07
0.154,0,0,0.00255986,0,0,0.0339193,7.03265,0,0,-0.0254246,0.299011,0.000109187,-0.000188634,0.00221847,9.49071e-07
0.155,0,0,0.00259402,0,0,0.0341596,7.03284,0,0,-0.0254303,0.299078,0.000111383,-0.000187801,0.00220867,9.65158e-07
0.156,0,0,0.00262842,0,0,0.0344001,7.03303,0,0,-0.025436,0.299144,0.000113608,-0.000186973,0.00219893,9.814e-07
0.157,0,0,0.00266306,0,0,0.0346409,7.03322,0,0,-0.0254416,0.29921,0.000115862,-0.000186151,0.00218926,9.97797e-07
0.158,0,0,0.00269794,0,0,0.034882,7.03341,0,0,-0.0254471,0.299275,0.000118145,-0.000185334,0.00217965,1.01435e-06
0.159,0,0,0.00273306,0,0,0.0351234,7.0336,0,0,-0.0254525,0.299339,0.000120458,-0.000184522,0.0021701,1.03106e-06
0.16,0,0,0.00276843,0,0,0.035365,7.03379,0,0,-0.025458,0.299403,0.0001228,-0.000183715,0.00216061,1.04793e-06
0.161,0,0,0.00280403,0,0,0.0356069,7.03397,0,0,-0.0254633,0.299466,0.000125172,-0.000182913,0.00215119,1.06495e-06
0.162,0,0,0.00283988,0,0,0.035849,7.03416,0,0,-0.0254686,0.299528,0.000127574,-0.000182117,0.00214182,1.08213e-06
0.163,0,0,0.00287597,0,0,0.0360914,7.03435,0,0,-0.0254738,0.29959,0.000130006,-0.000181326,0.00213251,1.09947e-06
0.164,0,0,0.00291231,0,0,0.0363341,7.03454,0,0,-0.025479,0.299651,0.000132468,-0.000180539,0.00212327,1.11696e-06
0.165,0,0,0.00294889,0,0,0.0365771,7.03473,0,0,-0.0254842,0.299711,0.000134961,-0.000179758,0.00211408,1.13462e-06
0.166,0,0,0.00298571,0,0,0.0368203,7.03492,0,0,-0.0254893,0.299771,0.000137485,-0.000178982,0.00210495,1.15243e-06
0.167,0,0,0.00302277,0,0,0.0370638,7.03511,0,0,-0.0254943,0.29983,0.000140039,-0.00017821,0.00209587,1.17041e-06
0.168,0,0,0.00306008,0,0,0.0373076,7.0353,0,0,-0.0254993,0.299889,0.000142625,-0.000177444,0.00208686,1.18854e-06
0.169,0,0,0.00309763,0,0,0.0375517,7.03549,0,0,-0.0255042,0.299947,0.000145242,-0.000176682,0.0020779,1.20684e-06
0.17,0,0,0.00313543,0,0,0.037796,7.03567,0,0,-0.0255091,0.300005,0.00014789,-0.000175925,0.00206899,1.2253e-06
0.171,0,0,0.00317347,0,0,0.0380406,7.03586,0,0,-0.025514,0.300062,0.00015057,-0.000175172,0.00206015,1.24392e-06
0.172,0,0,0.00321175,0,0,0.0382854,7.03605,0,0,-0.0255188,0.300118,0.000153282,-0.000174425,0.00205135,1.2627e-06
0.173,0,0,0.00325028,0,0,0.0385305,7.03624,0,0,-0.0255235,0.300174,0.000156026,-0.000173682,0.00204261,1.28164e-06
0.174,0,0,0.00328906,0,0,0.0387759,7.03643,0,0,-0.0255282,0.300229,0.000158803,-0.000172943,0.00203393,1.30075e-06
0.175,0,0,0.00332808,0,0,0.0390216,7.03662,0,0,-0.0255329,0.300284,0.000161611,-0.000172209,0.0020253,1.32002e-06
0.176,0,0,0.00336735,0,0,0.0392675,7.03681,0,0,-0.0255375,0.300338,0.000164452,-0.00017148,0.00201672,1.33945e-06
0.177,0,0,0.00340686,0,0,0.0395137,7.03699,0,0,-0.0255421,0.300392,0.000167327,-0.000170755,0.00200819,1.35905e-06
0.178,0,0,0.00344662,0,0,0.0397602,7.03718,0,0,-0.0255466,0.300445,0.000170234,-0.000170034,0.00199972,1.37881e-06
0.179,0,0,0.00348663,0,0,0.0400069,7.03737,0,0,-0.0255511,0.300498,0.000173174,-0.000169318,0.00199129,1.39874e-06
0.18,0,0,0.00352688,0,0,0.0402539,7.03756,0,0,-0.0255555,0.300551,0.000176148,-0.000168606,0.00198292,1.41883e-06
0.181,0,0,0.00356738,0,0,0.0405012,7.03775,0,0,-0.02556,0.300603,0.000179155,-0.000167899,0.0019746,1.43909e-06
0.182,0,0,0.00360813,0,0,0.0407487,7.03793,0,0,-0.0255643,0.300654,0.000182196,-0.000167195,0.00196633,1.45952e-06
0.183,0,0,0.00364913,0,0,0.0409965,7.03812,0,0,-0.0255687,0.300705,0.000185271,-0.000166496,0.00195811,1.48011e-06
